category,message
Assault,He’s hitting her
Assault,She’s hitting him
Assault,A person just got punched
Assault,A guy was kicking another person who was on the ground
Assault,He hits me
Assault,She hits me
Assault,He pinned her down
Assault,She pinned him down
Auto Theft,A red car was stolen
Auto Theft,A green car was stolen
Auto Theft,That car was hijacked
Auto Theft,An alarm in a car is going off
Auto Theft,My car is gone
Auto Theft,somebody stole my car
Auto Theft,Somebody took my car
Auto Theft,car
Auto Theft,van
Auto Theft,suv
Auto Theft,tesla
Auto Theft,toyota
Break & Enter,Somebody broke into my house
Break & Enter,Somebody stole something in my apartment
Break & Enter,Somebody stole something in my house
Break & Enter,Somebody stole something in my condo
Break & Enter,Somebody broke into my apartment unit
Break & Enter,Somebody broke into my condo
Break & Enter,I think he’s breaking into that house
Break & Enter,I think she’s breaking into that condo
Break & Enter,I think he’s breaking into that apartment
Break & Enter,house
Break & Enter,apartment
Break & Enter,condo
Bike Theft,He stole my bike
Bike Theft,She stole my bike
Bike Theft,My bike is gone
Bike Theft,"Someone took my bike"""
Bike Theft,bike
Sexual Assault,He raped her
Sexual Assault,She raped him
Sexual Assault,He's touching her inappropriately
Sexual Assault,She's touching her inappropriately
Theft,Someone took my phone
Theft,Someone ran off after taking something from a person
Theft,He stole my belongings
Theft,Somebody robbed me
Theft,laptop was stolen
Theft,computer was stolen
Sexual Assault,raped
Sexual Assault,rape
Sexual Assault,forced
Sexual Assault,groped
Sexual Assault,touching her inappropriately
Sexual Assault,sex
Sexual Assault,fucked
Theft,stole something in my apartment
Theft,broke into my apartment
Theft,breaking into that house
Theft,stole purse
Theft,stole money
Theft,took phone
Violence,He’s stabbing her
Violence,She’s stabbing him
Violence,Someone is getting stabbed
Violence,Somebody is shot
Violence,He got shot
Violence,She is shot
Violence,He’s bleeding a lot
Violence,She’s bleeding a lot
Violence,Someone is bleeding a lot
Violence,There is a person who is bleeding a lot
Violence,He's pulling out a gun
Violence,He has a knife
